Date,Description,Debit,Credit,Balance
01-01-2024,NETFLIX,649.00,0.00,100000.00
02-01-2024,Amazon Prime,1499.00,0.00,98501.00
05-01-2024,ADOBE CREATIVE CLOUD,4230.00,0.00,94271.00
07-01-2024,Notion Labs,820.00,0.00,93451.00
10-01-2024,Google One,130.00,0.00,93321.00
01-02-2024,NETFLIX,649.00,0.00,92672.00
05-02-2024,ADOBE CREATIVE CLOUD,4230.00,0.00,88442.00
07-02-2024,Notion Labs,820.00,0.00,87622.00
10-02-2024,Google One,130.00,0.00,87492.00
01-03-2024,NETFLIX,649.00,0.00,86843.00
05-03-2024,ADOBE CREATIVE CLOUD,4230.00,0.00,82613.00
07-03-2024,Notion Labs,820.00,0.00,81793.00
10-03-2024,Google One,130.00,0.00,81663.00
